,x
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,0
12,6
13,6
14,6
15,6
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,6
27,2
28,2
29,2
30,2
31,2
32,3
33,3
34,3
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,7
47,7
48,7
49,3
50,4
51,4
52,3
53,7
54,0
55,3
56,1
57,4
58,0
59,5
60,5
61,1
62,3
63,4
64,4
65,5
66,5
67,0
68,4
69,5
70,3
71,5
72,0
73,0
74,0
75,2
76,0
77,7
78,4
79,1
80,3
81,6
82,2
83,3
84,3
85,3
86,7
87,3
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,2
98,4
99,5
100,0
101,0
102,0
103,2
104,5
105,5
106,0
107,3
108,0
109,5
110,3
111,5
112,3
113,4
114,0
115,3
116,3
117,3
118,7
119,3
120,3
121,3
122,3
123,3
124,0
125,3
126,4
127,3
128,7
129,5
130,2
131,5
132,7
133,7
134,0
135,3
136,0
137,0
138,7
139,5
140,0
141,5
142,6
143,6
144,3
145,3
146,3
147,3
148,4
149,3
150,3
151,5
152,5
153,3
154,4
155,0
156,0
157,7
158,7
159,0
160,0
161,3
162,0
163,3
164,5
165,7
166,0
167,0
168,7
169,3
170,5
171,5
172,0
173,5
174,0
175,0
176,5
177,4
178,5
179,3
180,3
181,3
182,5
183,7
184,0
185,5
186,3
187,5
188,3
189,3
190,3
191,7
192,4
193,5
194,5
195,5
196,2
197,3
198,6
199,3
200,6
201,2
202,2
203,2
204,3
205,3
206,3
207,2
208,5
209,3
210,5
211,2
212,2
213,3
214,6
215,3
216,0
217,3
218,3
219,2
220,2
221,0
222,5
223,5
