DT,All,Spec,Gall,Mine
1,T,F,F,F
2,T,F,F,F
3,T,F,F,F
4,T,F,F,F
5,T,F,F,F
6,T,T,F,F
7,T,F,F,F
8,T,T,F,F
9,T,T,F,F
10,T,T,F,F
11,F,F,F,F
12,T,F,F,F
13,T,F,F,F
14,T,F,F,F
15,T,T,F,F
16,T,F,F,F
17,T,F,F,F
18,T,T,F,F
19,T,T,F,F
20,T,T,F,F
21,T,T,F,F
22,T,T,F,F
23,T,T,F,F
24,T,T,F,F
25,T,T,F,F
26,T,T,F,F
27,T,T,F,F
28,T,T,F,F
29,T,F,F,F
30,T,F,F,F
31,T,F,F,F
32,T,T,T,F
33,T,T,T,F
34,T,T,T,F
35,T,T,F,T
36,T,T,F,T
37,T,T,F,T
38,T,T,F,T
39,T,T,F,T
40,T,T,F,T
41,T,T,F,T
42,T,T,F,T
43,T,T,F,T
44,T,T,F,T
45,T,T,F,T
46,T,T,F,F
47,T,T,F,F
48,T,T,F,F
49,T,T,T,F
50,T,T,F,F
51,T,T,F,F
52,T,T,T,F
53,T,T,F,F
54,T,F,F,F
55,T,T,T,F
56,T,T,F,F
57,T,T,F,F
58,F,F,F,F
59,T,T,F,T
60,T,T,F,T
61,T,T,F,F
62,T,T,T,F
63,T,T,F,F
64,T,T,F,F
65,T,T,F,T
66,T,T,F,T
67,T,F,F,F
68,T,T,F,F
69,T,T,F,T
70,T,T,T,F
71,T,T,F,T
72,T,F,F,F
73,T,F,F,F
74,T,F,F,F
75,T,T,F,F
76,T,F,F,F
77,T,F,F,F
78,T,F,F,F
79,T,T,F,F
80,T,T,T,F
81,T,F,F,F
82,T,F,F,F
83,T,T,T,F
84,T,T,T,F
85,T,T,T,F
86,T,T,F,F
87,T,T,T,F
88,T,T,F,T
89,T,T,F,T
90,T,T,F,T
91,T,T,F,T
92,T,T,F,T
93,T,T,F,T
94,T,T,F,T
95,T,T,F,T
96,T,T,F,T
97,T,T,F,F
98,T,F,F,F
99,T,T,F,T
100,T,F,F,F
101,T,F,F,F
102,T,F,F,F
103,T,F,F,F
104,T,T,F,T
105,T,T,F,T
106,T,F,F,F
107,T,F,T,F
108,T,F,F,F
109,T,T,F,T
110,T,T,T,F
111,T,T,F,T
112,T,T,T,F
113,T,F,F,F
114,T,F,F,F
115,T,T,T,F
116,T,T,T,F
117,T,T,T,F
118,T,T,F,F
119,T,T,T,F
120,T,T,T,F
121,T,F,T,F
122,T,T,T,F
123,T,T,T,F
124,T,F,F,F
125,T,T,T,F
126,T,T,F,F
127,T,T,T,F
128,T,T,F,F
129,T,F,F,T
130,T,F,F,F
131,T,T,F,T
132,T,T,F,F
133,T,T,F,F
134,T,F,F,F
135,T,T,T,F
136,T,F,F,F
137,T,F,F,F
138,T,T,F,F
139,T,T,F,T
140,T,F,F,F
141,T,F,F,T
142,T,T,F,F
143,T,F,F,F
144,T,T,T,F
145,T,F,T,F
146,T,F,T,F
147,T,F,T,F
148,T,F,F,F
149,T,F,T,F
150,T,F,T,F
151,T,T,F,T
152,T,T,F,T
153,T,T,T,F
154,T,F,F,F
155,T,F,F,F
156,T,F,F,F
157,T,T,F,F
158,T,T,F,F
159,T,F,F,F
160,T,F,F,F
161,T,T,T,F
162,T,F,F,F
163,T,T,T,F
164,T,T,F,T
165,T,T,F,F
166,T,F,F,F
167,T,F,F,F
168,T,T,F,F
169,T,F,T,F
170,T,T,F,T
171,T,T,F,T
172,T,F,F,F
173,T,T,F,T
174,T,F,F,F
175,T,F,F,F
176,T,T,F,T
177,T,F,F,F
178,T,F,F,T
179,T,F,T,F
180,T,F,T,F
181,T,F,T,F
182,T,T,F,T
183,T,T,F,F
184,T,F,F,F
185,T,T,F,T
186,T,T,T,F
187,T,T,F,T
188,T,T,T,F
189,T,T,T,F
190,T,T,T,F
191,T,T,F,F
192,T,F,F,F
193,T,T,F,T
194,T,T,F,T
195,T,T,F,T
196,T,F,F,F
197,T,T,T,F
198,T,F,F,F
199,T,T,T,F
200,T,F,F,F
201,T,F,F,F
202,T,F,F,F
203,T,F,F,F
204,T,T,T,F
205,T,T,T,F
206,T,T,T,F
207,T,F,F,F
208,T,T,F,T
209,T,T,T,F
210,T,T,F,T
211,T,F,F,F
212,T,F,F,F
213,T,T,T,F
214,T,F,F,F
215,T,T,T,F
216,T,F,F,F
217,T,T,T,F
218,T,T,T,F
219,T,F,F,F
220,T,F,F,F
221,T,F,F,F
222,T,T,F,T
223,T,T,F,T
