Flora,epoch,Latitude,Continent,Age,DepEnv,perc.damage,perc.spec,perc.mine,perc.gall,perc.hole,perc.marg,perc.skel,perc.surface,perc.pierce,dt.raw,ffg.raw,stand.dt,stand.spec,stand.mine,stand.gall,shan.div,stand.plant.div,Perc.Spec.DTOs
Bernasso,Pleistocene,Mid-N,Eurasia,2.06,lacustrine,34.6,17.76,1.68,11.78,9.72,7.1,7.66,0.93,0,40,6,32.35,17.03,3,5.57,2.39,19.21,46.9483568
Berga,Pliocene,Mid-N,Eurasia,2.8,lacustrine,25.1,8.43,0.19,6.18,12.73,1.87,2.62,2.06,0.94,25,7,19.8,7.74,0.56,4.41,2.63,28.76,30.4054054
Willershausen,Pliocene,Mid-N,Eurasia,2.8,lacustrine,50.97,11.08,1.67,6.93,27.27,9.89,11.21,1.63,1.13,83,7,28.36,13.46,3,4.86,4.07,83.55,18.1089067
Hredavatn-StafholtFm,Miocene,High-N,Iceland,6.5,fluvial,25.39936,3.19,0.16,1.44,17.73,8.31,1.6,0.16,0.16,23,7,14.60366851,5.036794383,3.068960593,0.970567291,2.26,20.26589041,10.32258065
Skardsstrond-MokollsdalurFm,Miocene,High-N,Iceland,8.5,lacustrine,18.3505,2.06,0.41,1.03,10.1,7.84,0.62,0.21,0,20,6,11.35977734,4.727413759,2.823085259,0,1.651,12.89493594,8.737864078
Trollatunga-GautshamarFm.,Miocene,High-N,Iceland,10,mixed,6.19,1.52,0.65,0.22,4.34,0.65,0.43,0.33,0,18,6,16.63350939,4.853408887,1.470585055,2.400993235,1.742,16.38377443,27.5862069
Brjanslaekur-Selja Fm,Miocene,High-N,Iceland,12,mixed,21.01,3.81,1.73,0.79,16.62,1.65,1.15,0.22,0,28,6,16.16396828,6.272446778,0,0.999972475,1.409,13.505,20.45454545
Hindon Maar,Miocene,Mid-S,New Zealand,18.8,lacustrine,71.81,30.28,4.36,16.34,41.39,30.94,1.53,20.04,4.79,76,7,61.85,37.066,11.815,14.49,2.628,23.564,24.2283951
"Delta Sandy Horizon, Most Basin",Miocene,Mid-N,Eurasia,19.55,coastal,25.01,4.51,0.99,1.99,14.4,8.89,2.84,0.41,0,53,6,22.26,10.04,2.54,5.25,3.88,60.74,14.0472879
"Lake Clayey Horizon, Most Basin",Miocene,Mid-N,Eurasia,19.55,lacustrine,17.29,7.42,0.49,6.53,4.32,6.77,0.65,0.08,0.07,32,7,15.88,7.59,1.3,4.99,2.63,31.8,39.4308943
Mush,Miocene,Low,Africa,21.73,lacustrine,31.6,7.090909,0.409,2.545454,9.6364,7.2273,0.6364,15.545,1.6364,36,7,21.41,8.88,1.12,3.27,2.05,28.33,18.2807399
Rott,Oligocene,Mid-N,Eurasia,23.08,Lacustrine,17.76,3.31,0.82,1.25,5.76,9.54,1.55,1.46,0,51,6,19.77,8.02,2.26,2.48,3.46,54.49,16.0784314
Enspel,Oligocene,Mid-N,Eurasia,24.905,lacustrine,34.3,5.78,0.12,2.65,22.65,6.14,4.46,0.12,0,24,6,18.63,7.82,0.36,1.98,2.72,38.14,15.5339806
LV3,Oligocene,Mid-N,Eurasia,25.4,fluvial,38.83,18.27,0,17.51,22.59,2.79,0.254,0.254,0,19,5,17.4,8.4,0,6.69,1.09,11.87,37.944664
Quegstein,Oligocene,Mid-N,Eurasia,26.63,fluvial,14.7,1.6,0,0.319,8.31,6.71,0.63,0.64,0,12,5,11.84,2.96,0,0.96,2.219,35.38,8.62068966
Chilga,Oligocene,Low,Africa,27.23,fluvial,26.81,10.63,0.659,8.278,7.056,8.561,0.282,3.481,1.6,40,7,25.17,12.68,1.9,6.97,3.02,44.63,33.4285714
Markam Basin MK-1,Oligocene,Mid-N,Eurasia,33.4,fluvial,25.301205,1.927711,0,0.4819277,17.3494,5.0602,4.337349,0.7,0,16,5,14.58,3.6986,0,0.92466,2.40209,21.95,6.06060606
Florissant,Eocene,Mid-N,North America,34.07,lacustrine,23.2,,0,9,53,,4,,0,,,,,,,,,
Markam Basin MK-3,Eocene,Mid-N,Eurasia,34.6,fluvial,39.1125,4.2543,0.09149,2.333,34.172,8.463,2.0128,1.601,0.1372,40,7,20.62,6.3315,0.2746,3.5379,1.4656,22.32,7.10659899
