Number,web,epoch,Latitude,Continent,Age,connectance,web asymmetry,links per species,number of compartments,compartment diversity,cluster coefficient,nestedness,NODF,weighted nestedness,weighted NODF,interaction strength asymmetry,specialisation asymmetry,linkage density,weighted connectance,Fisher alpha,Shannon diversity,interaction evenness,Alatalo interaction evenness,H2,number.of.species.HL,number.of.species.LL,mean.number.of.shared.partners.HL,mean.number.of.shared.partners.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,togetherness.HL,togetherness.LL,C.score.HL,C.score.LL,V.ratio.HL,V.ratio.LL,discrepancy.HL,discrepancy.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,functional.complementarity.HL,functional.complementarity.LL,partner.diversity.HL,partner.diversity.LL,generality.HL,vulnerability.LL
2,Battleship,Cretaceous,Mid-N,North America,66.1,0.153846154,0.087719298,2.175438596,1,NA,0.076923077,11.33363192,39.74541984,0.579446911,19.56178421,0.017022774,-0.102446956,7.364378733,0.129199627,111.1619591,4.463624096,0.667000634,0.588209962,0.201267151,31,26,0.965591398,1.332307692,0.361842105,0.336587436,0.74958663,0.523760693,0.248268751,0.284225209,0.088680352,0.110782159,0.527653191,0.531301812,5.426647768,5.011638317,53,48,3.220785556,2.35850513,0.746529888,0.695958536,109.7566183,113.2023011,1.737997982,1.879344901,7.407125016,7.321632449
3,Berga,Pliocene,Mid-N,Eurasia,2.8,0.127692308,-0.019607843,1.62745098,2,1.179916291,0.038461538,9.618964809,33.89321212,0.609302976,14.16953535,0.013774986,-0.030285031,5.490388672,0.10765468,78.05274055,4.068592079,0.628162643,0.595314239,0.256753642,25,26,0.67,0.756923077,0.29547817,0.282432432,0.464659819,0.422483854,0.189734071,0.211585521,0.065257937,0.082209073,0.600691441,0.59582735,4.708176101,3.614024005,37,38,2.362129359,1.967788592,0.696974592,0.658170673,90.32929361,90.82139673,1.538911399,1.505021258,5.708359019,5.272418326
4,Bernasso,Pleistocene,Mid-N,Eurasia,2.06,0.161842105,0.355932203,2.084745763,1,NA,0.105263158,9.089054195,41.78265705,0.688972629,18.79712682,0.037155436,-0.151118638,7.169438754,0.121515911,121.3782511,4.500196555,0.678423115,0.581975248,0.25271658,40,19,0.805128205,1.783625731,0.36273783,0.310328638,0.779483901,0.474526448,0.240997735,0.284480688,0.101835664,0.111952862,0.526805282,0.3869068,4.007624965,6.902743142,52,51,3.706426696,2.10846535,0.767725643,0.674292997,116.3616332,100.8967027,1.450886069,2.0940682,5.19246471,9.146412797
5,Bonanza,Eocene,Mid-N,North America,47.3,0.209401709,0.181818182,2.227272727,1,NA,0.111111111,15.50065276,45.44165504,0.560765107,28.16163729,0.038933746,-0.092536352,6.812716077,0.154834456,63.98062594,4.247760493,0.690864828,0.686250159,0.183664396,26,18,1.132307692,1.85620915,0.451867816,0.384615385,0.855762984,0.6379652,0.263142296,0.305458341,0.120835708,0.156590414,0.482988434,0.453748178,4.499416569,4.925318761,29,33,3.708718797,2.573857863,0.769296865,0.711931539,111.1801598,102.9431873,1.702356412,1.932439759,6.217198874,7.408233281
6,Brjanslaekur-Selja Fm,Miocene,High-N,Iceland,12,0.287037037,0.142857143,1.476190476,2,1.369563672,0.166666667,25.45747957,42.02614379,0.337220324,25.11437908,0.046886569,0.036215805,3.668236056,0.174677907,17.94967505,2.919538364,0.623549025,0.61233735,0.242666247,12,9,0.863636364,1.25,0.504685408,0.440763052,0.577467811,0.393042575,0.310728387,0.323839829,0.156060606,0.194444444,0.479924242,0.478860229,2.162995595,2.17721519,10,10,2.870036543,2.006201388,0.736207988,0.661072414,62.15350195,51.96760289,1.166315523,1.273651008,3.410367739,3.926104373
7,CastleRock,Paleocene,Mid-N,North America,64.4,0.126654064,-0.5,2.184782609,3,1.232422502,0.028985507,9.676252276,35.11971381,0.515183403,8.505861367,-0.040499979,0.241496442,11.26646522,0.122461578,412.4793587,5.180806439,0.702996897,0.817254253,0.20461779,23,69,1.383399209,0.803495311,0.302221476,0.205640423,0.529245816,0.853415822,0.084109248,0.219193593,0.043993958,0.109736431,0.724801898,0.566452889,13.68404084,2.199232168,91,92,2.150789583,2.851671628,0.675866807,0.730791586,90.94583223,113.1382229,2.735552502,1.308161487,18.26767873,4.265251707
8,Cerrejon,Paleocene,Low,Tropical South America,58,0.216269841,-0.125,3.40625,1,NA,0.069444444,13.64401612,60.61719042,0.675301618,36.75965688,-0.023153349,0.050488654,11.42253041,0.178477038,133.7095534,4.958952525,0.717054776,0.642786152,0.103404391,28,36,1.968253968,3.157142857,0.624114552,0.346083789,0.932869662,0.860317245,0.216047581,0.553049749,0.063844251,0.300976148,0.52765825,0.179664725,15.90814006,3.803943045,57,60,4.689155278,2.867814346,0.816903937,0.732749703,158.1459201,190.8856256,2.610054777,1.949661934,15.41266559,7.432395231
9,Clarkforkian,Paleocene,Mid-N,North America,57,0.226851852,0.542857143,1.4,1,NA,0.125,16.79284453,40.97478745,0.627377272,25.31222515,0.283179206,-0.48949979,4.851982123,0.138628061,18.62497934,2.917506313,0.542763759,0.514429493,0.270940635,27,8,0.655270655,1.75,0.496354167,0.571141975,0.655630521,0.190486172,0.41214505,0.340530995,0.176816239,0.14484127,0.466820988,0.341893739,1.926289926,6.820408163,17,15,3.945189164,1.436477556,0.776189703,0.587099552,141.8596342,169.2934864,0.583561609,2.027240297,1.876062595,7.82790165
10,CoolPeriod_BH,Eocene,Mid-N,North America,54.2,0.30952381,0.2,2.6,1,NA,0.214285714,20.49460276,54.91451055,0.5099933,29.39227347,0.033898699,-0.110895099,6.236422605,0.178183503,55.15637687,4.097720767,0.720975324,0.620657627,0.219332819,21,14,1.6,2.78021978,0.535406404,0.445812808,0.892410225,0.735838956,0.289666727,0.364878748,0.158600583,0.232167832,0.401995505,0.308195467,3.707317073,3.546528804,29,31,5.622701492,3.212302133,0.831865115,0.7487454,128.8737735,113.7768907,1.62044494,1.879442514,5.660828869,6.81201634
11,DaiyeSpa_BH,Paleocene,Mid-N,North America,56.1,0.320408163,0.428571429,3.204081633,1,NA,0.214285714,10.513342,64.56257981,0.644484449,39.7241818,0.062037342,-0.206541185,8.921498386,0.182071396,70.43097138,4.540959854,0.733074374,0.655151983,0.123376084,35,14,1.885714286,5.703296703,0.675758317,0.492857143,0.965054614,0.812961355,0.332452922,0.578763875,0.170502487,0.288407671,0.320247125,0.132211761,5.551389787,8.938185444,35,36,9.049578835,2.939682635,0.877031393,0.734306481,229.4070546,178.2910448,1.829261085,2.373368107,6.746089864,11.09690691
