"","Web","connectance","web asymmetry","links per species","number of compartments","compartment diversity","cluster coefficient","nestedness","NODF","weighted nestedness","weighted NODF","interaction strength asymmetry","specialisation asymmetry","linkage density","weighted connectance","Fisher alpha","Shannon diversity","interaction evenness","Alatalo interaction evenness","H2","number.of.species.HL","number.of.species.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","cluster.coefficient.HL","cluster.coefficient.LL","weighted.cluster.coefficient.HL","weighted.cluster.coefficient.LL","niche.overlap.HL","niche.overlap.LL","togetherness.HL","togetherness.LL","C.score.HL","C.score.LL","V.ratio.HL","V.ratio.LL","discrepancy.HL","discrepancy.LL","extinction.slope.HL","extinction.slope.LL","robustness.HL","robustness.LL","functional.complementarity.HL","functional.complementarity.LL","partner.diversity.HL","partner.diversity.LL","generality.HL","vulnerability.LL"
"1","Aspelintoppen","0.167080966824592","0.114685714465655","1.22584527628828","1.158",NA,"0.0770411255411255","19.6109037832716","30.1901010426731","0.429008492521477","14.9156681182102","-0.179049302017235","0.026101208063881","4.50457735913207","0.150952966881362","43.5436960073019","3.42490476500239","0.635208492358691","0.808180512881211","0.231549548372554","16.718","13.228","0.355271589676234","0.953312354312353","0.508543814130456","0.213004087673894","0.115851383860176","0.111735896178612","0.12254230591288","0.471259187733418","0.0476598183418737","0.189587426019698","0.731594484560765","0.412703016873527","3.78663440865532","1.21103466778464","16.202","17.946","2.54645125072636","1.46251075962069","0.712633068097725","0.595995466654827","37.8214595926071","31.934889454097","1.48166758084795","1.02470338013858","5.93848243146955","3.07067228679458"
"2","Battleship","0.148789990525346","0.101266455042662","1.8325466867702","1.358",NA,"0.0878857325934859","12.1080985440672","36.079820550466","0.528948058078557","16.043553448567","0.014264585833417","-0.102206017513679","6.36174193348833","0.127382269579843","102.672700389086","4.2381890836914","0.65978081313053","0.658193626113738","0.21226726975179","27.54","22.48","0.73212431736595","1.13121690492335","0.345158010774009","0.304536332098304","0.635413868529656","0.428779516895886","0.218165521162713","0.274651698413836","0.0777483762185153","0.110315705381672","0.58866716260869","0.530938148121133","4.74153195515677","3.9282918684419","38.996","38.038","2.92130169582413","2.13615024440335","0.732394030982773","0.675928388722709","77.5460765960784","79.7738900590726","1.56284630063673","1.72148745065171","6.33751371424479","6.38597015273187"
"3","Berga","0.130950378259056","-0.0362479309207561","1.33276170421374","1.97",NA,"0.0692418260118159","10.9937917364747","29.0859551499344","0.527093124843625","10.6385308870355","0.02564656933473","-0.0207536574950935","4.42410647943901","0.107963247148606","70.9614109082564","3.75733832196708","0.622390961393231","0.693088565800539","0.271140582425595","19.82","21.298","0.53607099440396","0.524434977597297","0.262695623209375","0.270927136462181","0.277726275624016","0.278907526925219","0.189929456709302","0.184803510269357","0.069370636876743","0.0734862268100701","0.641270336795033","0.651143980635835","3.01929991157319","2.67262691027409","27.932","27.63","1.84111768892093","1.86577236753969","0.644489550901298","0.64691621018417","53.507302724506","54.5532679926413","1.30927652765279","1.28818970695893","4.51160377911363","4.33660917976439"
"4","Bernasso","0.150980521587013","0.319766390236023","1.65716647187653","1.064",NA,"0.0952155379020703","11.6516673409024","33.1093618399472","0.580281361937235","11.4840405059726","0.0367578962060702","-0.152249842347696","5.62281331879233","0.114471434076256","115.253910022521","4.18120064447494","0.664544449837017","0.684840238288254","0.263127532789739","32.482","16.72","0.571150192193882","1.10445693797087","0.301220619614679","0.270035135494203","0.610562917942819","0.328411995996338","0.203855653110059","0.223412675768661","0.0865654916131467","0.0916780883834479","0.613616769632367","0.531128800289435","2.68100871845235","4.43638829415371","38.842","40.736","3.19742479297454","1.80689666002479","0.745806527667228","0.640979081380963","70.8055029903008","63.3379611435917","1.22108781061169","1.82369914590311","4.13275735154421","7.11286928604046"
"5","Bonanza","0.217320958019661","0.168172994975767","1.62653215906474","1.448",NA,"0.139148955946015","20.077132308401","39.2709115919205","0.428831542395439","17.0316002948868","0.0244642570449614","-0.0869480263757942","4.90036130221551","0.157643119406736","65.2978952426804","3.75067470287911","0.687645579356028","0.802719779340288","0.228934266005719","18.268","12.988","0.777064340081031","1.20517374684139","0.39435062705947","0.345202275717228","0.624000377928253","0.449151594312813","0.235241538875002","0.275430324474946","0.119413824100953","0.145652974920299","0.553711606055578","0.497613187972611","2.64580699718877","2.80840974168313","19.246","20.13","3.11910715715755","2.05333864761587","0.742300080362694","0.665704154950545","45.2801231846398","42.6512771555395","1.3266870372215","1.57427616731494","4.4008549689895","5.39986763544151"
"6","Brjánslækur (Barðaströnd)","0.287627946127947","0.14152030075188","1.47153634085213","1.992",NA,"0.1715","25.8044490871794","42.1474569380135","0.334928577084768","25.1039880275525","0.0461195687732692","0.0359303559717873","3.6591583764383","0.17516660051117","17.9319288010861","2.91572256573668","0.62410758996401","0.614044576720208","0.242203884748496","11.926","8.968","0.864751515151517","1.24203174603175","0.504180564520563","0.441633175044602","0.575463367303405","0.393247905199942","0.310868319806305","0.32260433323402","0.157058005050505","0.194226921138825","0.479519856902358","0.479597304106826","2.14523307311251","2.17610168960047","10.07","10.002","3.07072958400388","2.04023122567864","0.747153347729434","0.664823904176785","61.2938072301758","51.3133948605724","1.16378475942762","1.27061834330893","3.4026145047814","3.91570224809519"
"7","CastleRock","0.154349025781764","-0.217791125648735","0.972711522241985","3.586",NA,"0.126907983011676","26.4327024649348","15.1124475936301","NaN","0.820639878994014","NaN","NaN","2.82638992994091","0.10522998389699","1518271133.6896","3.24146798054134","0.630664009799116","0.979117055532892",NA,"10.59","16.64","0.301046908646909","0.271164862223671","0.219291400296609","0.202288828618496","NaN","NaN","0.0979080655442364","0.148562410773738","0.05386164262353","0.0849896607777302","0.814982681736977","0.774783319450058","1.33330693049813","0.638501793135382","16.16","16.274","1.446332709127","2.07149927980038","0.588310909023129","0.664825297621129","20.202036580157","19.695040239741","1.09786882571951","0.588216004489732","3.56364579308949","2.08913406679234"
"8","Cerrejon","0.219748841903378","-0.136331454044557","2.93513752367","1.064",NA,"0.0817737313596427","12.2373465175148","58.4597202452323","0.651567675955782","31.5720739470121","-0.0215542630282698","0.0567408481330723","10.0301263768422","0.183513334708639","126.470172357269","4.7668707786431","0.722840470370733","0.703279931521986","0.118204320485049","23.642","31.092","1.82653236548219","2.49730562519535","0.567137138126471","0.35690353381867","0.868629710172368","0.823729092965278","0.233871671320599","0.485961974840366","0.0796131375873172","0.267837864411902","0.502325908990715","0.230133515476004","12.3471218088214","3.6660366809337","42.652","45.824","4.34249823398342","2.82627091333123","0.798393465943318","0.727019203196128","104.980104961604","122.817271855125","2.43968921391713","1.84255120134658","13.2345564457145","6.82569630796997"
"9","Chilga","0.0990633258220345","-0.0227925035671068","1.28089910663419","2.972",NA,"0.0625702028212319","12.4231521010263","18.5232246926509","0.350102006761212","5.88225408618264","0.035804587237969","-0.0184622395561771","4.0295215830897","0.077396986117948","92.6853389603435","3.93689044082614","0.604158246949308","0.672792338410005","0.367240893517099","25.534","26.74","0.351030655949974","0.366170556689404","0.179076805778466","0.189555110186782","0.254458549969386","0.246365588495482","0.116717181057708","0.116403048807559","0.0421616991978678","0.0474952921850166","0.779847940943845","0.766965571798658","2.5013962198349","2.0959178465545","39.662","39.722","1.87125589088383","1.8591307439497","0.647156930680229","0.645979398884124","70.5777739003089","69.5010119572408","1.14482334840234","1.1823440384054","4.06514445917124","3.99389870700816"
"10","Clarkforkian","0.252959285030081","0.464577007310962","1.19707554705221","1.338",NA,"0.157397619047619","21.7059993926337","41.8265785689587","0.608606931793742","28.4513991260455","0.300297909356889","-0.474166555689883","4.34473220859473","0.177689347251886","14.5787137079821","2.72855046910232","0.57365351184714","0.594441168466445","0.315838401563179","18.034","6.562","0.713689508210938","1.05358095238095","0.417495593266407","0.632377421290506","0.358810082604619","0.0916848525145178","0.522948939242502","0.253670928262113","0.258850896483809","0.116268887613309","0.385368744404056","0.529102439527914","1.18813830302122","5.88751656550487","9.83","8.47","3.06518497729192","1.47349315112078","0.738003485961402","0.59385132523777","63.3220361311616","70.9642159993579","0.505830644012058","1.86638950103173","1.75020126793465","6.93926314925479"
